ts,step,endpoint,latency_ms,status,ok
1789194517.321,10,orders,229.3,200,1
1789194517.327,10,search,140.3,200,1
1789194517.334,10,orders,210.0,200,1
1789194517.344,10,orders,224.5,200,1
1789194517.344,10,health,28.2,200,1
1789194517.357,10,orders,221.1,200,1
1789194517.363,10,orders,220.5,200,1
1789194517.373,10,orders,223.3,200,1
1789194517.38,10,orders,246.1,200,1
1789194517.435,10,login,108.9,200,1
1789194517.437,10,health,2.4,200,1
1789194517.473,10,search,160.8,200,1
1789194517.488,10,search,154.0,200,1
1789194517.492,10,search,170.3,200,1
1789194517.502,10,search,157.9,200,1
1789194517.503,10,search,145.7,200,1
1789194517.512,10,search,132.1,200,1
1789194517.515,10,search,152.8,200,1
1789194517.525,10,login,50.8,200,1
